Sites,Depth,X Value 1 two_theta,X Value 2 peak_height,X Value 3 peak_width,X Value 4 MgCO3
1003,170.81,30.67,762,0.180979452,41.12377582
1003,176.01,29.39,3136,0.189268944,-0.166959273
1003,176.01,30.66,790,0.15958885,40.8147164
1003,177.51,29.42,3170,0.186876078,0.842409246
1003,177.51,30.69,365,0.169418425,41.74128275
1003,179.01,29.42,3469,0.180471861,0.842409246
1003,179.01,30.71,369,0.165460628,42.35797516
1003,180.51,29.43,3856,0.181063842,1.178402809
1003,180.51,30.72,671,0.15494902,42.66601641
1003,182.01,29.43,3295,0.192091092,1.178402809
1003,182.01,30.74,740,0.173397887,43.28148999
1003,185.71,29.45,3125,0.18800972,1.849697431
1003,185.71,30.32,85,0.051715686,30.18385659
1003,185.71,30.68,751,0.16381202,41.4326312
1003,187.21,29.43,3283,0.189994277,1.178402809
1003,187.21,30.7,660,0.157324088,42.04973067
1003,188.51,29.42,3080,0.198646049,0.842409246
1003,188.51,30.71,882,0.177494808,42.35797516
1003,188.71,29.43,3158,0.188680024,1.178402809
1003,188.71,30.7,692,0.159311224,42.04973067
1003,190.01,29.43,3058,0.18726545,1.178402809
1003,190.01,30.71,1616,0.156424904,42.35797516
1003,190.21,29.44,3069,0.193683393,1.514165459
1003,190.21,30.69,745,0.152507212,41.74128275
1003,191.51,29.38,3025,0.190867137,-0.503878844
1003,191.51,30.16,90,0.031083333,25.09712186
1003,191.51,30.63,1521,0.151130866,39.88631197
1003,191.71,29.45,3147,0.199237261,1.849697431
1003,191.71,30.16,85,0.021346154,25.09712186
1003,191.71,30.72,520,0.170939394,42.66601641
1003,193.01,29.43,3170,0.185804086,1.178402809
1003,193.01,30.73,1267,0.16,42.97385462
1003,193.21,29.38,3047,0.191316103,-0.503878844
1003,193.21,30.71,942,0.16617547,42.35797516
1003,194.51,29.42,3181,0.186077004,0.842409246
1003,194.51,30.69,790,0.163396739,41.74128275
1003,194.71,29.43,3341,0.178728212,1.178402809
1003,194.71,30.68,745,0.161910162,41.4326312
1003,195.41,29.44,3238,0.18463955,1.514165459
1003,195.41,30.7,894,0.168503086,42.04973067
1003,196.01,29.46,3552,0.181535973,2.184998961
1003,196.01,29.92,90,0.021666667,17.36375578
1003,196.01,30.7,702,0.164986383,42.04973067
1003,196.91,29.4,3238,0.184591245,0.169728441
1003,196.91,30.19,94,0.021650198,26.05504221
1003,196.91,30.69,835,0.160416191,41.74128275
1003,197.51,29.44,3249,0.185649471,1.514165459
1003,197.51,30.26,96,0.024,28.28271257
1003,197.51,30.7,1102,0.164460215,42.04973067
1003,197.51,30.94,132,0.049020833,49.39190389
1003,198.01,29.39,3069,0.183776334,-0.166959273
1003,198.01,30.65,835,0.166002886,40.50545276
1003,198.41,29.41,3215,0.184400738,0.506184536
1003,198.41,30.67,1267,0.16745451,41.12377582
1003,199.91,29.38,3318,0.18080091,-0.503878844
1003,199.91,30.66,864,0.16626921,40.8147164
1003,205.11,29.42,3272,0.179586062,0.842409246
1003,205.11,29.92,98,0.020545455,17.36375578
1003,205.11,30.69,961,0.165430403,41.74128275
1003,206.61,29.43,3660,0.173754665,1.178402809
1003,206.61,30.71,416,0.165244444,42.35797516
1003,208.11,29.4,3387,0.182600978,0.169728441
1003,208.11,30.68,458,0.165580694,41.4326312
1003,209.61,29.41,3341,0.179498151,0.506184536
1003,209.61,30.7,936,0.171155556,42.04973067
1003,214.71,29.41,3446,0.173793917,0.506184536
1003,214.71,30.69,562,0.186791223,41.74128275
1003,216.21,29.43,3318,0.178768657,1.178402809
1003,216.21,29.98,100,0.039818182,19.3088462
1003,216.21,30.68,864,0.176514533,41.4326312
1003,217.71,29.4,3469,0.17403996,0.169728441
1003,217.71,30.68,576,0.177165775,41.4326312
1003,219.21,29.41,3564,0.182786255,0.506184536
1003,219.21,30.68,412,0.171391304,41.4326312
1003,234.12,29.46,3493,0.182967858,2.184998961
1003,234.12,30.7,317,0.180760234,42.04973067
1003,236.29,29.08,119,0.023813025,-10.72046518
1003,236.29,29.44,3624,0.178031483,1.514165459
1003,236.29,30.69,376,0.175783926,41.74128275
1003,243.71,29.41,3672,0.174230263,0.506184536
1003,243.71,30.67,289,0.147,41.12377582
1003,253.3,29.41,3906,0.168831167,0.506184536
1003,253.3,30.68,196,0.156580087,41.4326312
1003,262.91,29.42,3758,0.176883023,0.842409246
1003,262.91,30.7,272,0.176265306,42.04973067
1003,282.2,29.41,3733,0.175664133,0.506184536
1003,282.2,30.66,177,0.17675,40.8147164
1003,283.7,29.42,3770,0.177113714,0.842409246
1003,283.7,30.69,117,0.168080808,41.74128275
1003,291.81,29.45,3832,0.180858576,1.849697431
1003,291.81,30.73,135,0.109373041,42.97385462
1003,293.28,29.43,3819,0.174953788,1.178402809
1003,293.28,30.7,159,0.130416667,42.04973067
1003,310.98,29.42,3660,0.173357138,0.842409246
1003,310.98,30.7,128,0.172286325,42.04973067
1003,320.61,29.43,3697,0.174088928,1.178402809
1003,320.61,30.7,164,0.150788043,42.04973067
1003,322.11,29.42,3994,0.169215425,0.842409246
1003,322.11,30.68,182,0.160252525,41.4326312
1003,330.31,29.43,3576,0.177165179,1.178402809
1003,330.31,30.69,114,0.165,41.74128275
1003,331.81,29.42,3588,0.175459604,0.842409246
1003,331.81,30.71,104,0.171944444,42.35797516
1003,333.31,29.42,3721,0.175106383,0.842409246
1003,333.31,30.73,132,0.162894737,42.97385462
1003,349.4,29.43,3721,0.168823582,1.178402809
1003,349.4,30.68,202,0.185566138,41.4326312
1003,350.9,29.4,3684,0.174884283,0.169728441
1003,350.9,30.67,243,0.16459389,41.12377582
1003,359.01,29.39,2873,0.182897935,-0.166959273
1003,359.01,29.76,108,0.0346875,12.13804082
1003,368.62,29.41,3636,0.177847031,0.506184536
1003,368.62,30.69,538,0.172708516,41.74128275
1003,378.32,29.44,3733,0.174598818,1.514165459
1003,378.32,30.71,286,0.184767802,42.35797516
1003,387.91,29.4,3215,0.174069318,0.169728441
1003,387.91,30.73,342,0.179886364,42.97385462
1003,406.38,29.43,2694,0.184081377,1.178402809
1003,406.38,30.67,361,0.179776152,41.12377582
1003,407.21,29.43,3819,0.172663394,1.178402809
1003,407.21,30.69,125,0.141269841,41.74128275
1003,407.74,29.41,2959,0.187842376,0.506184536
1003,407.74,30.67,188,0.16425641,41.12377582
1003,416.01,29.44,3376,0.181932939,1.514165459
1003,416.01,30.69,396,0.156503497,41.74128275
1003,416.82,29.43,3364,0.175838207,1.178402809
1003,416.82,29.77,130,0.022616408,12.46631338
1003,416.82,30.69,724,0.163640058,41.74128275
1003,426.5,29.44,4020,0.17559851,1.514165459
1003,426.5,30.69,253,0.176135531,41.74128275
1003,435.92,29.46,4225,0.168149038,2.184998961
1003,435.92,30.73,234,0.163578947,42.97385462
1003,445.71,29.41,3733,0.173529026,0.506184536
1003,445.71,30.67,625,0.166164944,41.12377582
1003,455.36,29.42,3869,0.176289391,0.842409246
1003,455.36,30.7,185,0.130608696,42.04973067
1003,465.01,29.39,3807,0.168794055,-0.166959273
1003,465.01,30.68,303,0.171161525,41.4326312
1003,466.5,29.43,3697,0.171339162,1.178402809
1003,466.5,30.72,164,0.180176471,42.66601641
1003,473.71,29.4,3648,0.174344365,0.169728441
1003,473.71,30.7,449,0.158235386,42.04973067
1003,475.41,29.41,3956,0.171175563,0.506184536
1003,475.41,30.72,196,0.1958,42.66601641
1003,483.52,29.44,3758,0.180929615,1.514165459
1003,483.52,30.71,253,0.146051971,42.35797516
1003,484.39,29.42,4045,0.174690238,0.842409246
1003,484.39,30.76,350,0.15716092,43.896153
1003,485.02,29.39,3770,0.184351648,-0.166959273
1003,485.02,30.67,299,0.154725415,41.12377582
1003,486.43,29.44,3745,0.182593376,1.514165459
1003,486.43,30.71,102,0.124333333,42.35797516
1003,487.79,29.41,3944,0.182850939,0.506184536
1003,487.79,30.7,188,0.176861472,42.04973067
1003,504.36,29.43,3481,0.178072464,1.178402809
1003,504.36,29.97,90,0.046245614,18.98521184
1003,504.36,30.71,106,0.148170996,42.35797516
1003,505.64,29.42,3819,0.183507328,0.842409246
1003,505.64,30.68,222,0.170092593,41.4326312
1003,512.91,29.41,4160,0.172679918,0.506184536
1003,513.05,29.41,3745,0.198026282,0.506184536
1003,522.8,29.45,3469,0.204917355,1.849697431
1003,522.8,30.17,85,0.023352273,25.41664291
1003,523.62,29.21,159,0.039463602,-6.267216247
1003,523.62,29.64,3204,0.212880142,8.181286601
1003,524.3,29.44,4624,0.168521917,1.514165459
1003,532.41,29.43,4449,0.193002828,1.178402809
1003,533.31,29.4,4624,0.180324549,0.169728441
1003,533.77,29.43,4173,0.184810081,1.178402809
1003,540.93,29.47,3528,0.183760748,2.520070283
1003,560.97,29.43,3672,0.19265508,1.178402809
1003,560.97,30.74,135,0.172,43.28148999
